benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM,24.0,1.1857000000000002,
4gt13_92,5,30,ILS,24.0,0.43409999999999993,
4gt13_92,5,30,Qiskit,45.0,0.10486366748809814,
4gt13_92,5,30,SAHS,48.3,7.614973068237305,
4gt13_92,5,30,FiDLS,180.0,0.02,
4gt13_92,5,30,TKET,24.0,0.1538228988647461,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.8206,
4mod5-v1_22,5,11,ILS,6.0,0.1991,
4mod5-v1_22,5,11,Qiskit,14.7,0.12965040206909179,
4mod5-v1_22,5,11,SAHS,19.2,5.084369421005249,
4mod5-v1_22,5,11,FiDLS,9.0,0.01,
4mod5-v1_22,5,11,TKET,9.0,0.15502166748046875,
,,,,,,
9symml_195,11,15232,EffectiveQM,21841.5,2688.7349999999997,
9symml_195,11,15232,ILS,23309.7,411.2084,
9symml_195,11,15232,Qiskit,33104.7,28.07317168712616,
9symml_195,11,15232,SAHS,32291.7,2346.7339008808135,
9symml_195,11,15232,FiDLS,50493.0,42.33,
9symml_195,11,15232,TKET,24219.0,4.3613951206207275,
,,,,,,
adr4_197,13,1498,EffectiveQM,2043.9,267.03270000000003,
adr4_197,13,1498,ILS,2145.9,36.319100000000006,
adr4_197,13,1498,Qiskit,3174.9,2.963544774055481,
adr4_197,13,1498,SAHS,3137.7,127.77619345188141,
adr4_197,13,1498,FiDLS,4332.0,6.89,
adr4_197,13,1498,TKET,2820.0,0.6146454811096191,
,,,,,,
alu-v0_27,5,17,EffectiveQM,18.0,0.9471000000000002,
alu-v0_27,5,17,ILS,18.0,0.2459,
alu-v0_27,5,17,Qiskit,24.9,0.14471156597137452,
alu-v0_27,5,17,SAHS,32.7,6.3703686714172365,
alu-v0_27,5,17,FiDLS,21.0,0.03,
alu-v0_27,5,17,TKET,18.0,0.15511608123779297,
,,,,,,
co14_215,15,7840,EffectiveQM,9234.9,2733.852,
co14_215,15,7840,ILS,10214.1,209.7611,
co14_215,15,7840,Qiskit,16277.7,17.20963909626007,
co14_215,15,7840,SAHS,17616.0,1177.6359577178955,
co14_215,15,7840,FiDLS,21825.0,47.5,
co14_215,15,7840,TKET,12429.0,2.6812713146209717,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM,3416.4,497.30060000000003,
cycle10_2_110,12,2648,ILS,3467.7,52.543099999999995,
cycle10_2_110,12,2648,Qiskit,5148.0,5.929594326019287,
cycle10_2_110,12,2648,SAHS,5533.2,122.78592903614044,
cycle10_2_110,12,2648,FiDLS,6507.0,6.17,
cycle10_2_110,12,2648,TKET,4068.0,0.9481630325317383,
,,,,,,
decod24-v2_43,4,22,EffectiveQM,18.0,0.5862,
decod24-v2_43,4,22,ILS,18.0,0.172,
decod24-v2_43,4,22,Qiskit,33.0,0.20704801082611085,
decod24-v2_43,4,22,SAHS,29.4,7.255749821662903,
decod24-v2_43,4,22,FiDLS,27.0,0.01,
decod24-v2_43,4,22,TKET,21.0,0.16412901878356934,
,,,,,,
ising_model_10,10,90,EffectiveQM,0.0,0.032200000000000006,
ising_model_10,10,90,ILS,0.0,0.014900000000000002,
ising_model_10,10,90,Qiskit,7.2,0.2959484338760376,
ising_model_10,10,90,SAHS,82.8,12.00823791027069,
ising_model_10,10,90,FiDLS,0.0,0.0,
ising_model_10,10,90,TKET,0.0,0.13580536842346191,
,,,,,,
ising_model_13,13,120,EffectiveQM,0.0,0.09380000000000001,
ising_model_13,13,120,ILS,0.0,0.0216,
ising_model_13,13,120,Qiskit,34.8,0.18525731563568115,
ising_model_13,13,120,SAHS,177.6,14.32322461605072,
ising_model_13,13,120,FiDLS,0.0,0.0,
ising_model_13,13,120,TKET,0.0,0.13354992866516113,
,,,,,,
ising_model_16,16,150,EffectiveQM,0.0,0.20980000000000004,
ising_model_16,16,150,ILS,0.0,0.06060000000000001,
ising_model_16,16,150,Qiskit,40.8,0.4005265235900879,
ising_model_16,16,150,SAHS,293.4,20.335795855522157,
ising_model_16,16,150,FiDLS,0.0,0.0,
ising_model_16,16,150,TKET,0.0,0.12988901138305664,
,,,,,,
misex1_241,15,2100,EffectiveQM,2515.2,369.16929999999996,
misex1_241,15,2100,ILS,2637.9,48.1553,
misex1_241,15,2100,Qiskit,4121.1,4.353951621055603,
misex1_241,15,2100,SAHS,4367.1,88.77989449501038,
misex1_241,15,2100,FiDLS,5637.0,7.52,
misex1_241,15,2100,TKET,3249.0,0.7291088104248047,
,,,,,,
mod5mils_65,5,16,EffectiveQM,12.0,0.6923999999999999,
mod5mils_65,5,16,ILS,12.0,0.2105,
mod5mils_65,5,16,Qiskit,22.2,0.19149653911590575,
mod5mils_65,5,16,SAHS,27.9,6.239159059524536,
mod5mils_65,5,16,FiDLS,21.0,0.02,
mod5mils_65,5,16,TKET,15.0,0.15523433685302734,
,,,,,,
qft_10,10,90,EffectiveQM,87.3,29.021000000000004,
qft_10,10,90,ILS,90.3,2.4168999999999996,
qft_10,10,90,Qiskit,107.1,0.2271428108215332,
qft_10,10,90,SAHS,148.8,12.556075024604798,
qft_10,10,90,FiDLS,213.0,0.19,
qft_10,10,90,TKET,129.0,0.16447067260742188,
,,,,,,
qft_13,13,156,EffectiveQM,169.2,87.965,
qft_13,13,156,ILS,176.7,6.140700000000001,
qft_13,13,156,Qiskit,204.9,0.37223062515258787,
qft_13,13,156,SAHS,280.8,10.157267475128174,
qft_13,13,156,FiDLS,273.0,0.74,
qft_13,13,156,TKET,357.0,0.18654966354370117,
,,,,,,
qft_16,16,240,EffectiveQM,276.6,246.1417,
qft_16,16,240,ILS,291.6,10.017299999999999,
qft_16,16,240,Qiskit,341.7,0.4691511631011963,
qft_16,16,240,SAHS,461.7,15.015396761894227,
qft_16,16,240,FiDLS,534.0,1.15,
qft_16,16,240,TKET,462.0,0.21718525886535645,
,,,,,,
qft_20,20,380,EffectiveQM,458.1,333.8783,
qft_20,20,380,ILS,488.1,22.4454,
qft_20,20,380,Qiskit,562.5,0.7840494632720947,
qft_20,20,380,SAHS,818.1,53.69305534362793,
qft_20,20,380,FiDLS,768.0,1.99,
qft_20,20,380,TKET,702.0,0.2926938533782959,
,,,,,,
radd_250,13,1405,EffectiveQM,1900.8,275.6303,
radd_250,13,1405,ILS,1986.9,36.5071,
radd_250,13,1405,Qiskit,2880.0,3.1847658157348633,
radd_250,13,1405,SAHS,2762.1,61.40107133388519,
radd_250,13,1405,FiDLS,3612.0,8.28,
radd_250,13,1405,TKET,2325.0,0.5213425159454346,
,,,,,,
rd73_252,10,2319,EffectiveQM,3231.3,316.7649,
rd73_252,10,2319,ILS,3401.4,43.779,
rd73_252,10,2319,Qiskit,4850.4,5.091674780845642,
rd73_252,10,2319,SAHS,4530.3,217.3668837785721,
rd73_252,10,2319,FiDLS,5493.0,6.73,
rd73_252,10,2319,TKET,3834.0,0.762157678604126,
,,,,,,
rd84_142,15,154,EffectiveQM,172.2,49.736900000000006,
rd84_142,15,154,ILS,175.2,4.6030999999999995,
rd84_142,15,154,Qiskit,296.1,0.47051074504852297,
rd84_142,15,154,SAHS,382.2,19.350602436065675,
rd84_142,15,154,FiDLS,294.0,1.15,
rd84_142,15,154,TKET,192.0,0.18209195137023926,
,,,,,,
rd84_253,12,5960,EffectiveQM,9030.0,1174.5292000000002,
rd84_253,12,5960,ILS,9313.5,173.55360000000002,
rd84_253,12,5960,Qiskit,12983.7,13.550738739967347,
rd84_253,12,5960,SAHS,12516.6,461.99858222007754,
rd84_253,12,5960,FiDLS,16410.0,22.82,
rd84_253,12,5960,TKET,11082.0,2.0288772583007812,
,,,,,,
sqn_258,10,4459,EffectiveQM,6018.0,716.9544,
sqn_258,10,4459,ILS,6318.3,93.76719999999999,
sqn_258,10,4459,Qiskit,9234.9,9.306785249710083,
sqn_258,10,4459,SAHS,8690.7,409.29075665473937,
sqn_258,10,4459,FiDLS,11919.0,11.14,
sqn_258,10,4459,TKET,8235.0,1.47538423538208,
,,,,,,
square_root_7,15,3089,EffectiveQM,4634.4,834.6297000000002,
square_root_7,15,3089,ILS,4670.1,109.5204,
square_root_7,15,3089,Qiskit,7042.2,7.445301246643067,
square_root_7,15,3089,SAHS,7450.5,323.05669922828673,
square_root_7,15,3089,FiDLS,11121.0,19.54,
square_root_7,15,3089,TKET,6048.0,1.4565114974975586,
,,,,,,
sym6_145,7,1701,EffectiveQM,1920.3,164.76950000000002,
sym6_145,7,1701,ILS,2024.7,20.225,
sym6_145,7,1701,Qiskit,3066.3,3.6171799182891844,
sym6_145,7,1701,SAHS,2969.7,146.73512816429138,
sym6_145,7,1701,FiDLS,4488.0,2.91,
sym6_145,7,1701,TKET,1992.0,0.5002486705780029,
,,,,,,
sym9_193,11,15232,EffectiveQM,21839.4,2600.8019999999997,
sym9_193,11,15232,ILS,23309.7,406.24229999999994,
sym9_193,11,15232,Qiskit,33103.5,26.768745493888854,
sym9_193,11,15232,SAHS,31789.5,2360.5875624895098,
sym9_193,11,15232,FiDLS,50493.0,41.54,
sym9_193,11,15232,TKET,24219.0,4.345144510269165,
,,,,,,
z4_268,11,1343,EffectiveQM,1807.5,194.11819999999997,
z4_268,11,1343,ILS,1880.4,38.3789,
z4_268,11,1343,Qiskit,2760.3,3.187290143966675,
z4_268,11,1343,SAHS,2667.0,120.3343136548996,
z4_268,11,1343,FiDLS,5370.0,4.8,
z4_268,11,1343,TKET,2295.0,0.5141894817352295,
,,,,,,
